Route,Mode,Avg Frequency Mon 7-8,Avg Frequency Mon 12-1,Avg Frequency Mon 12-1,Morning 7-8 (Saturday),Daytime 12-1 (Saturday),Evening (Saturday),Morning 7-8 (Sunday),Daytime 12-1 (Sunday),Evening (Sunday),AM Peak Median Gap (min),PM Peak Median Gap (min),Weekly Total Services,Weekly Distance (km),Weekly Service Hours,Average Speed (km/h)
18 (Geelong),Bus,79,60,,78,60,,62,60,,79,24,145,1273,31,41.06
180,Bus,21,20,20,40,20,20,40,20,20,20,20,713,7456,273,27.31
181,Bus,37.5,40,48,59,60,58.5,60,60,58.5,38,39,328,4730,211,22.42
182,Bus,20.5,40,34,50,40,40,40,40,40,21,20,409,5690,198,28.74
19,Tram,7,8,12,11.5,8,12,23.5,8,20,6,6,1873,14582,1063,13.72
190,Bus,21.5,20,22.5,32.5,40,40,40,40,40,20,20,675,4506,157,28.7
191,Bus,34.5,60,44.5,80,60,60,,60,60,39,40,293,4387,176,24.93
192,Bus,30,20,19.5,20,20,20,,20,20,33,20,651,6007,231,26
194,Bus,20,40,19.5,38.5,40,40,38.5,40,40,20,20,463,4107,263,15.62
2 (Latrobe Valley),Bus,40,40,40.5,40,40,40,40,40,40,40,40,312,5369,135,39.77
2 (Seymour),Bus,63.5,15,,,,,,,,63.5,20,50,345,16,21.56
20 (Ballarat),Bus,61.5,60,79,40,40,,,40,,63.5,52,214,1496,86,17.4
20 (Geelong),Bus,20.5,20.5,33,39.5,30,40.5,,35,50,20,20,492,4346,175,24.83
20 (Latrobe Valley),Bus,,,,,,,,,,,,35,139,6,23.17
200,Bus,16,20,29,31,30.5,30,31,32,28.5,18,16,649,11084,590,18.79
200/207,Bus,8,10,14,15.5,15.5,15,15.5,16.5,14,10,9,1325,16965,990,17.14
201,Bus,15.5,15,15,,,,,,,15,15,600,3450,158,21.84
207,Bus,16.5,20,27.5,31,30.5,29.5,31,31.5,28.5,20,15,676,12525,682,18.37
21 (Ballarat),Bus,29,30,43.5,20,20,22,40,39.5,,31,30,428,7173,273,26.27
21 (Latrobe Valley),Bus,41.5,40,,40,40,,,40,,40,40,228,2281,95,24.01
215,Bus,30,61,40.5,,59.5,60,,60,,33,30,293,5194,202,25.71
216,Bus,12,15,13.5,18,15,17,20.5,20,30,11,13,995,13287,757,17.55
22 (Ballarat),Bus,29.5,30,37,20,20,20,,40,,30,32,410,4611,211,21.85
22 (Geelong),Bus,22.5,20.5,28.5,29,38.5,35.5,41,30.5,29,21,21,523,9950,456,21.82
22 (Latrobe Valley),Bus,40,43.5,,40,40,,,40,,40,40,228,1709,76,22.49
220,Bus,13,15,13.5,17,15,14.5,20,20.5,25,9,12,991,15977,910,17.56
223,Bus,15,15,17.5,16,16,20.5,34.5,20,29.5,15,15,855,6262,378,16.57
23 (Ballarat),Bus,60,60,58,39,40,,,40,,63.5,61,210,1028,53,19.4
23 (Geelong),Bus,19.5,20,24.5,36.5,34.5,,,35.5,,20,21,480,4072,143,28.48
232,Bus,17.5,20,29,,30,40,,60,,13,14,538,8036,340,23.64
234,Bus,14.5,15,15,25.5,15,29.5,30.5,15,29.5,15,13,947,6559,445,14.74
235,Bus,10,10,10,20,20,20,20,20,20,8,8,1280,9235,422,21.88
236,Bus,45,39.5,,60,60,,,,,43,45,207,1796,113,15.89
237,Bus,9,10,10,,,,,,,8,8,1050,6053,274,22.09
24 (Ballarat),Bus,60,30,74,40,40,40,,40,,60,60,279,3193,162,19.71
24 (Geelong),Bus,42,46,68,63.5,61,,,60.5,,43,39,237,3777,173,21.83
241,Bus,10.5,10,17,30,30,30,,30,30,10,10,922,6729,548,12.28
246,Bus,10,10,15.5,23,15.5,15,30,15.5,24.5,11,11,1112,15245,855,17.83
25 (Ballarat),Bus,30.5,30.5,33,40,40,,,80,,30,36,356,4695,211,22.25
25 (Geelong),Bus,25.5,20,38.5,40.5,31,,,32,,20,20,484,5548,253,21.93
250,Bus,20.5,20,20.5,41,30.5,29.5,39,39.5,29.5,20,20,674,13325,714,18.66
250/251,Bus,11,10,10,20.5,15,19,39.5,20,30,10,11,1188,12813,828,15.47
251,Bus,22,20,19.5,40.5,31.5,28,,41,,22,21,514,7926,496,15.98
26 (Ballarat),Bus,30,30,28,40,40,40,,80,,32,30,350,3167,162,19.55
270,Bus,15,20,20,30,30,50.5,60,30,60,16,15,636,6691,301,22.23
271,Bus,21.5,30,28.5,58.5,30,58,60,60,59.5,22,20,464,9896,406,24.37
273,Bus,25.5,30,34,,60,,,,,25,23,298,3336,124,26.9
279,Bus,28,30,29.5,39.5,30,58.5,30,30,60,14,15,724,7785,306,25.44
280,Bus,64,59.5,,60.5,60,,,60,,60,59,80,2524,102,24.75
281,Bus,25,30,32,60.5,60,,,,,26,30,282,2624,131,20.03
281/293,Bus,21,15,37.5,54,30,,,60,,18,14,631,3150,184,17.12
282,Bus,61,59.5,,,59.5,,,59.5,,60,59,79,2464,100,24.64
284,Bus,37,45,,60,60,,60,60,,35,30,248,1585,72,22.01
285,Bus,32.5,41.5,,60,60,,60,60,,32,30,248,3388,140,24.2
293,Bus,23,30,48.5,58.5,60,,,60,,23,20,390,6626,267,24.82
295,Bus,30.5,30,,,59.5,,,59.5,,30,30,274,2380,103,23.11
3,Tram,11.5,12,13.5,15.5,12,13,29.5,12,22.5,11,12,1280,17118,1121,15.27
3 (Latrobe Valley),Bus,,,,,,,,,,,,80,1793,33,54.33
3 (Seymour),Bus,39,,,59.5,59.5,,,,,47,,42,957,25,38.28
30,Tram,10,12,14.5,21.5,15,15,21.5,15,19.5,10,10,1138,3634,284,12.8
30 (Ballarat),Bus,63,60.5,72,40,40,40,,,,60,63,203,4633,132,35.1
30 (Geelong),Bus,21,43.5,42.5,81.5,79.5,,,82,,22,20,407,4088,186,21.98
30 (Latrobe Valley),Bus,40,40,40,40,40,,40,40,,40,40,144,1150,38,30.26
301,Bus,10,10,9,,,,,,,10,10,730,3433,152,22.59
302,Bus,15,30,27.5,30.5,30.5,40.5,59.5,60.5,59.5,12,23,529,10442,486,21.49
302/304,Bus,9.5,15,14,15,15.5,40,31,30,59.5,7,11,937,15656,719,21.77
303,Bus,25.5,,,,,,,,,20,19,40,1320,49,26.94
Eastern Freeway Corridor,Bus,2,4,3,5,4.5,5,8.5,5,6.5,1,1,4654,18908,1280,14.77
304,Bus,21,30,27.5,30.5,31,,60.5,60.5,,13,20,408,7751,374,20.72
305,Bus,17.5,15,19,30,30,29.5,43,30,60,13,14,743,8233,354,23.26
309,Bus,13.5,,19,,,,,,,12,21,90,2154,93,23.16
31 (Ballarat),Bus,80,60,59,51,40,40,,,,80,42,187,1835,64,28.67
31 (Geelong),Bus,19.5,43.5,31,60,81.5,,,82,,21,20,407,4298,181,23.75
318,Bus,19,,,,,,,,,18,12,40,1120,44,25.45
32 (Geelong),Bus,60,43.5,58.5,78,59.5,,,59.5,,47,49,248,5350,186,28.76
343,Bus,19,40,30,,,,,,,19,20,365,5738,174,32.98
35,Tram,,12,,,12,,,12,,,12,259,2155,237,9.09
350,Bus,21,,,,,,,,,22,20,245,4610,238,19.37
356,Bus,19.5,40,25.5,40,38.5,41.5,40.5,40,40,20,20,468,3131,141,22.21
357,Bus,20.5,40,24,40,40,43.5,40,40,41.5,20,20,493,7499,363,20.66
358,Bus,20,40,29.5,40.5,39,39.5,40.5,40.5,40,20,20,468,3773,163,23.15
364,Bus,18,30,26,60,60.5,60,60,60.5,60,18.5,15,496,7749,264,29.35
370,Bus,31.5,30,60,60,60,,60,60,,30,30,326,2635,122,21.6
381,Bus,28,44.5,37,41,40,42,41.5,40,42,23,27,413,7772,302,25.74
382,Bus,35,39.5,37,41,40,42,37.5,40.5,41.5,27,22,444,13524,491,27.54
383,Bus,31,40,38,40,40,41,40,40,41,29,30,373,6488,261,24.86
384,Bus,,37.5,99,105,40,40.5,,40,37,41,103,237,2475,62,39.92
385,Bus,25.5,46,40,40,39.5,39.5,40,40,39.5,20,20,455,10341,331,31.24
386,Bus,20,40,31,40,40,40,38.5,40,40,20,20,497,9908,439,22.57
386/387,Bus,10,20,15.5,20.5,20.5,20.5,20,20.5,20.5,10,11,956,18145,798,22.74
387,Bus,20,40,32.5,40,40,40,39,40,40,20,20,459,8862,376,23.57
388,Bus,19.5,39.5,42,39,39,39,39,39,39,20,20,237,2893,145,19.95
389,Bus,18,41.5,34,,,,,,,21,20,185,2344,113,20.74
390,Bus,22.5,20,23.5,40,40,37.5,41,40,40,21,20,604,10668,357,29.88
4 (Latrobe Valley),Bus,,,,,,,,,,,,80,1674,27,62
4 (Seymour),Bus,,,,,,,,,,,,15,45,2,22.5
40 (Geelong),Bus,58,63,59.5,,,,,,,67,59,135,3102,128,24.23
40 (Latrobe Valley),Bus,60,60,60,60,60,,60,60,,60,60,95,807,30,26.9
400,Bus,28.5,39.5,30,41.5,41,53,,41.5,52,26,25,390,9055,353,25.65
402,Bus,10.5,10,9.5,30.5,20,23,29.5,20,23,10,10,1114,9436,722,13.07
404,Bus,20,40,,40,40,,,,,20,20,336,1812,102,17.76
405,Bus,23.5,20,19.5,36,40,40,39.5,40,40,23,19,571,3396,187,18.16
406,Bus,15,20,24.5,20,20,34.5,48,40,39.5,15,15,718,9263,460,20.14
407,Bus,35,35,35,,35,,,,,35,35,251,1624,63,25.78
408,Bus,20,20,36.5,43,20,50,,60,57,20,20,527,8516,457,18.63
409,Bus,36,40,39.5,40,40,43.5,,40,39.5,40,40,330,3311,173,19.14
41 (Geelong),Bus,26,49,41,63.5,63.5,,,64.5,,23,20,368,5618,251,22.38
41 (Latrobe Valley),Bus,58.5,58.5,55.5,58.5,59.5,,,59.5,,60,60,95,888,33,26.91
410,Bus,14,24.5,17.5,20,30,65,50,60,58,15,14,761,6455,334,19.33
411,Bus,28.5,40,51,81,79.5,79.5,,79.5,79.5,30,33.5,300,6620,250,26.48
411/412,Bus,15,20,25,41.5,40,52,,40,52,15,19,591,13680,508,26.93
412,Bus,31,40,59,80,80,64,,80,63.5,30,36,291,7060,257,27.47
414,Bus,41,40,40,80,80.5,,,,,41,40,221,3699,134,27.6
415,Bus,41,40,35.5,80.5,80,,,,,42,40,245,4384,145,30.23
417,Bus,43,60,,,,,,,,54,40,160,1815,64,28.36
418,Bus,22,40,51,40,40.5,52.5,,40.5,52.5,22,20,378,4195,192,21.85
419,Bus,23.5,40,35,60,60,51.5,,60,73,22,20,385,4510,202,22.33
42 (Geelong),Bus,22.5,21.5,46.5,54,60,65,,60,,22,21,451,7896,330,23.93
42 (Latrobe Valley),Bus,60,60,60,60,60,,,60,,60,60,95,832,30,27.73
420,Bus,19.5,20,28.5,40.5,20,40.5,45.5,20,45,22,20,650,11041,483,22.86
421,Bus,39.5,39.5,59,70,60,58.5,,60,62,39,40,287,5461,252,21.67
422,Bus,58.5,60,67.5,60,60,60,,60,,63,60,174,2194,92,23.85
423,Bus,30.5,40,54,61.5,40,,,40,,24,37,321,2730,108,25.28
424,Bus,37,40,55,61,40,60,,40,58,40,39,303,1861,74,25.15
425,Bus,39,40,39.5,59,40,68.5,55,59.5,60.5,37,37,325,3510,168,20.89
426,Bus,19.5,40,35,40,40,61,40,40.5,60,24,29,427,5822,223,26.11
426/456,Bus,12,20,18.5,19,21,29,38,20.5,28,13,14,781,8460,320,26.44
427,Bus,25.5,40,40,40,40,49.5,40,40,48,27,27,357,2596,105,24.72
428,Bus,26.5,40,40,39.5,40,43.5,,40,45.5,28,28,352,2017,92,21.92
429,Bus,29.5,38.5,34,38.5,38.5,47,,58,56,34,30,171,813,30,27.1
43 (Geelong),Bus,50,46,57.5,62,60.5,60,82,60,60,41,38,244,4737,175,27.07
43 (Latrobe Valley),Bus,60,60,60,60,60,,,60,,60,60,95,872,40,21.8
431,Bus,31,30,,30,30,,,,,30,30,310,1454,80,18.18
432,Bus,24,22.5,22.5,50.5,45,46.5,,45,46.5,30,20,484,7774,364,21.36
433 (Bacchus Marsh),Bus,21,58,46,33,32.5,29,33,32.5,29,22,21,447,4861,186,26.13
434 (Bacchus Marsh),Bus,21,72,20,40,40,40,40,40,40,20,20,332,2639,96,27.49
439,Bus,58,60.5,,60,60,,,60,,54,60,200,3112,97,32.08
44 (Latrobe Valley),Bus,60,60,60,60,60,,,60,,60,60,95,989,33,29.97
441,Bus,44,60,44,60,60,40,,60,,41,44,240,1094,41,26.68
443,Bus,70,58,63.5,58,58,56.5,,58,56.5,55,60,194,1473,76,19.38
444,Bus,31,40,39,40,40,40,40,40,40,25,30,376,1834,65,28.22
45 (Geelong),Bus,43.5,81,61,81,82,82,81,80,,46,43,216,3208,114,28.14
45 (Latrobe Valley),Bus,58.5,58.5,58.5,58.5,58.5,,46.5,58.5,,60,60,95,907,35,25.91
451,Bus,20,20,22,40,40,40,40,40,40,20,20,672,4707,228,20.64
452,Bus,20,40,31,40,40,39.5,40,40,39.5,20.5,26,432,6993,208,33.62
453,Bus,73.5,60,72.5,40,40,40,,40,40,77,60,249,3056,118,25.9
454,Bus,40.5,40,36.5,40,40,40,40,40,40,35,38,334,2187,88,24.85
455,Bus,80,60,60,40,40,40,,40,40,50,59,247,2934,113,25.96
456,Bus,35.5,40,40.5,40,40,57.5,40,40,58,35,33,354,11859,369,32.14
