Route,Mode,Avg Frequency Mon 7-8,Avg Frequency Mon 12-1,Avg Frequency Mon 12-1,Morning 7-8 (Saturday),Daytime 12-1 (Saturday),Evening (Saturday),Morning 7-8 (Sunday),Daytime 12-1 (Sunday),Evening (Sunday),AM Peak Median Gap (min),PM Peak Median Gap (min),Weekly Total Services,Weekly Distance (km),Weekly Service Hours,Average Speed (km/h)
800,Bus,20,20,40,40,30,40,39.5,30,40,20,20,524,9656,446,21.65
802,Bus,50.5,41,38,,,,,,,45,41,210,4994,217,23.01
802/804/862,Bus,15.5,13.5,37,57.5,30,56.5,,61,59.5,14,14,704,18289,804,22.75
804,Bus,46,40,35,59.5,58,,,,,42,37,202,5508,251,21.94
81 (Warragul),Bus,39.5,40,,,40,,,40,,40,41,236,1204,49,24.57
811,Bus,65.5,60,60,63,61,57.5,,60.5,63,68,55,235,9131,408,22.38
811/812,Bus,41,36,57.5,56.5,60.5,56,,60,60.5,30,31,461,15288,662,23.09
812,Bus,67,59.5,51,71,60,53.5,,60.5,60,61,61,226,6217,257,24.19
813,Bus,43,39,55,68,61,58,,61,58,43.5,39,293,5932,268,22.13
814,Bus,61.5,60,57,60,60,,,,,60,58,148,2538,130,19.52
814/848,Bus,34.5,32,45,37,33,60,,60,60.5,31,29,362,3842,186,20.66
816,Bus,31,60,58,60,61,59.5,,61,59.5,30,30,288,2496,110,22.69
82,Tram,15,15,13.5,16,15.5,17,31,16,18.5,15,12,1020,9281,512,18.13
82 (Warragul),Bus,40,40,,,40,,,40,,40,41,234,1342,51,26.31
822,Bus,31.5,29.5,43.5,41.5,40.5,55.5,,60.5,58,31,30,390,7008,342,20.49
823,Bus,58.5,72.5,,,,,,,,58,58,130,1305,68,19.19
824,Bus,27.5,27.5,45.5,47,50.5,59,,61.5,69.5,20,21,516,9739,453,21.5
825,Bus,20,19.5,38.5,38,33.5,59,,58,65,20,20,502,6998,323,21.67
828,Bus,22,19.5,29,47.5,39.5,44,78,59.5,64.5,22,20,559,20577,931,22.1
83 (Warragul),Bus,40,40,,,40,,,40,,40,41,234,1297,53,24.47
831,Bus,21,20,43,39.5,40,40,41.5,40,41,21,20,536,7801,312,25
832,Bus,30.5,30,36,61,60,62,,60.5,54,30,30,373,6396,231,27.69
833,Bus,30,30,42,40.5,40,40.5,,60,58,31,30,421,10663,417,25.57
834,Bus,22,39,20,75,40.5,62,,60,66.5,22,21,457,6432,246,26.15
835,Bus,24,40,19.5,76,41,49.5,,59.5,64.5,22,20,462,8907,339,26.27
836,Bus,50.5,59.5,65,79,60,61.5,,60,59.5,63,58,224,2510,92,27.28
837,Bus,55.5,60.5,55.5,69,60.5,60.5,,60,60.5,60,57,213,2165,80,27.06
838,Bus,,119,,,,,,,,,,30,906,23,39.39
839,Bus,45,40,38,39,60,56,,60,59,46,38,286,2061,78,26.42
840,Bus,,,,,,,,,,,59,51,1013,29,34.93
841,Bus,34.5,40.5,29,54.5,40,50,,60.5,65.5,32,24,362,7166,261,27.46
842,Bus,,60,,,,,,,,,,50,540,21,25.71
843,Bus,30,30,29.5,,30,33.5,,40,42,29,30,408,5271,252,20.92
843/845,Bus,17,17,17,22.5,17,18.5,,22.5,24,15,15,811,6545,337,19.42
844,Bus,29,29.5,,60.5,60,,,,,30,30,278,1612,94,17.15
845,Bus,30,30,29.5,27.5,30,33,,40,42,30,30,403,5149,259,19.88
846,Bus,59,60,56.5,79,60,61.5,,56,60,54.5,57,214,1741,68,25.6
847,Bus,33.5,40,51.5,68.5,60,64.5,,60,64,34,28,314,3372,158,21.34
848,Bus,66,60.5,60,59,60.5,61.5,,60,61,60,58,214,3878,170,22.81
85 (Warragul),Bus,40,39.5,,,39.5,,,,,40,41,297,2531,78,32.45
850,Bus,31,30,33.5,61.5,59,58.5,,57.5,59,31,29,356,6747,323,20.89
855 (Latrobe Valley),Bus,,,,,,,,,,,,38,2460,41,60
857,Bus,52.5,61,,63,60,,,,,44,44,214,3475,120,28.96
858,Bus,30.5,30,60.5,60.5,61,51.5,59,60,52,31,31,328,3299,131,25.18
86,Tram,8,8,12.5,15,10,12,24.5,10,19,8,8,1683,35576,2213,16.08
86 (Warragul),Bus,42.5,40,,,40,,,,,41,41,181,1221,45,27.13
861,Bus,31,30,30,25,30.5,27.5,,40,39.5,30,30,372,4642,249,18.64
862,Bus,43.5,40,39.5,69.5,60.5,57,,61.5,61.5,41,40,292,7908,341,23.19
863,Bus,38.5,40,35,41.5,40,54.5,50,40,54.5,40,39,323,5946,234,25.41
881,Bus,40.5,40,38.5,40,40,40,41.5,40,40,40,40,334,3650,143,25.52
885,Bus,36,30.5,,,59,,,,,34,32,262,2486,114,21.81
886,Bus,61,61.5,54.5,60,57.5,62,73.5,58,64.5,61,58,233,5023,159,31.59
887,Bus,57,60,58.5,,,,,,,58,61,174,7094,141,50.31
888,Bus,68.5,59.5,62,66,63,50,56,57,58,66,60,220,2344,91,25.76
